country,state,city,lattitude,longitude,
India,Meghalaya,Tura,25.5141,90.2032,
India,Bihar,Munger,25.37571,86.474373,
India,Gujarat,Jetpur,21.761524,70.627625,
India,Jammu and Kashmir,Vijaypur,32.564522,75.023148,
India,Kerala,Kozhikode,11.2588,75.7804,
,,,,,
,,,,,
